id,billing_date,billing_id,billing_document,billing_type,customer_number,sku,net_weight,weight_unit,country_code,country_name
1293,2025-01-07,986,99,F2 (Invoice),203,34034,60.3448275862069,kg (Kilogram),CN,China
1294,2025-01-07,986,99,F2 (Invoice),203,34034,0.0,kg (Kilogram),CN,China
1295,2025-01-07,986,99,F2 (Invoice),203,32106,20.689655172413794,kg (Kilogram),CN,China
1296,2025-01-07,986,99,F2 (Invoice),203,32106,0.0,kg (Kilogram),CN,China
1297,2025-01-07,986,99,F2 (Invoice),203,30248,31.03448275862069,kg (Kilogram),CN,China
1298,2025-01-07,986,99,F2 (Invoice),203,30248,0.0,kg (Kilogram),CN,China
1299,2025-01-07,986,99,F2 (Invoice),203,29806,13.793103448275863,kg (Kilogram),CN,China
1300,2025-01-07,986,99,F2 (Invoice),203,29806,0.0,kg (Kilogram),CN,China
1301,2025-01-07,986,99,F2 (Invoice),203,30152,69.82758620689656,kg (Kilogram),CN,China
1302,2025-01-07,986,99,F2 (Invoice),203,30152,0.0,kg (Kilogram),CN,China
